epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.00021308331557639036,,,,,0.9888635277748108,0.0,1.6181339025497437,1,,,,,
0.010014915832090347,,,,,1.0171624422073364,3.262411347517731e-06,1.6292490751846977,47,,,,,
0.020029831664180694,,,,,0.6923384666442871,6.595744680851064e-06,1.5290212428316157,94,,,,,
0.030044747496271042,,,,,0.4234718084335327,9.929078014184398e-06,1.1796876623275432,141,,,,,
0.04005966332836139,,,,,0.35653677582740784,9.997480499587619e-06,0.8866716750124668,188,,,,,
0.050074579160451736,,,,,0.30050814151763916,9.989704390928016e-06,0.6207507113192944,235,,,,,
0.060089494992542083,,,,,0.32685455679893494,9.976678664396862e-06,0.4373567865249958,282,,,,,
0.07010441082463244,,,,,0.3184145390987396,9.95841702423021e-06,0.3089025578600295,329,,,,,
0.08011932665672278,,,,,0.4053412079811096,9.934938683316253e-06,0.21022995482099818,376,,,,,
0.09013424248881313,,,,,0.24816758930683136,9.90626834298164e-06,0.15040835928409657,423,,,,,
0.10014915832090347,,,,,0.21722589433193207,9.872436167003468e-06,0.10911948630150328,470,,,,,
0.11016407415299383,,,,,0.2251412719488144,9.833477749874255e-06,0.07992456821685141,517,,,,,
0.12017898998508417,,,,,0.26132428646087646,9.789434079353361e-06,0.06590846244325028,564,,,,,
0.13019390581717452,,,,,0.5254167914390564,9.740351493344149e-06,0.055589741848884745,611,,,,,
0.14020882164926488,,,,,0.2046097368001938,9.686281631142357e-06,0.0461955577769178,658,,,,,
0.1502237374813552,,,,,0.22037920355796814,9.627281379106915e-06,0.04280104028417709,705,,,,,
0.16023865331344556,,,,,0.2738593518733978,9.563412810810371e-06,0.03671502052469457,752,,,,,
0.1702535691455359,,,,,0.26165544986724854,9.494743121731916e-06,0.035751056163869005,799,,,,,
0.18026848497762626,,,,,0.17454960942268372,9.421344558561689e-06,0.03196064462053015,846,,,,,
0.1902834008097166,,,,,0.1711873859167099,9.343294343190761e-06,0.030750211249006554,893,,,,,
0.20029831664180694,,,,,0.22395223379135132,9.260674591466764e-06,0.02962916962643887,940,,,,,
0.2103132324738973,,,,,0.15685129165649414,9.17357222680063e-06,0.02820803256745034,987,,,,,
0.22032814830598765,,,,,0.18255409598350525,9.08207888871534e-06,0.02665947345977134,1034,,,,,
0.23034306413807798,,,,,0.14586478471755981,8.986290836432908e-06,0.02824395514549093,1081,,,,,
0.24035797997016833,,,,,0.15250501036643982,8.88630884760101e-06,0.025630126608178972,1128,,,,,
0.2501598124866823,0.02446909435093403,31.1745,160.388,2.534,,,,1174,,,,,
0.2503728958022587,,,,,0.11572282761335373,8.782238112265851e-06,0.02559990071235819,1175,,,,,
0.26038781163434904,,,,,0.1196449026465416,8.674188122202756e-06,0.028334782478657176,1222,,,,,
0.2704027274664394,,,,,0.17591752111911774,8.562272555720982e-06,0.025523639739827908,1269,,,,,
0.28041764329852975,,,,,0.0980406180024147,8.446609158063911e-06,0.026471926810893606,1316,,,,,
0.29043255913062005,,,,,0.15283247828483582,8.327319617530459e-06,0.02392961877457639,1363,,,,,
0.3004474749627104,,,,,0.14328397810459137,8.204529437448036e-06,0.025015754902616462,1410,,,,,
0.31046239079480076,,,,,0.11732020229101181,8.07836780413177e-06,0.025463596303412255,1457,,,,,
