epoch,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.00021308331557639036,,,,,0.9000244736671448,0.0,1.5539872646331787,1,,,,,
0.010014915832090347,,,,,0.9084671139717102,1.6312056737588656e-06,1.5716746786366338,47,,,,,
0.020029831664180694,,,,,0.9082737565040588,3.297872340425532e-06,1.5600900852933843,94,,,,,
0.030044747496271042,,,,,0.5703896880149841,4.964539007092199e-06,1.3696483855551862,141,,,,,
0.04005966332836139,,,,,0.44412654638290405,4.9987402497938095e-06,1.180924192388007,188,,,,,
0.050074579160451736,,,,,0.38847532868385315,4.994852195464008e-06,0.9833386198003241,235,,,,,
0.060089494992542083,,,,,0.34478282928466797,4.988339332198431e-06,0.7959351235247673,282,,,,,
0.07010441082463244,,,,,0.3146671950817108,4.979208512115105e-06,0.668125680152406,329,,,,,
0.08011932665672278,,,,,0.3398050367832184,4.967469341658127e-06,0.5618041829859957,376,,,,,
0.09013424248881313,,,,,0.2965685725212097,4.95313417149082e-06,0.47819766592472157,423,,,,,
0.10014915832090347,,,,,0.299013614654541,4.936218083501734e-06,0.38255922845069396,470,,,,,
0.11016407415299383,,,,,0.3300957679748535,4.916738874937128e-06,0.30244855677827875,517,,,,,
0.12017898998508417,,,,,0.35209739208221436,4.894717039676681e-06,0.25377026010066905,564,,,,,
0.13019390581717452,,,,,0.501924455165863,4.870175746672074e-06,0.20283281042220744,611,,,,,
0.14020882164926488,,,,,0.3277338445186615,4.843140815571179e-06,0.1582173895328603,658,,,,,
0.1502237374813552,,,,,0.367662638425827,4.813640689553458e-06,0.1405070994762664,705,,,,,
0.16023865331344556,,,,,0.3539770841598511,4.7817064054051856e-06,0.107747290996795,752,,,,,
0.1702535691455359,,,,,0.42185667157173157,4.747371560865958e-06,0.1002376840469685,799,,,,,
0.18026848497762626,,,,,0.36945948004722595,4.710672279280844e-06,0.08724061478959753,846,,,,,
0.1902834008097166,,,,,0.283534973859787,4.671647171595381e-06,0.07451823417176591,893,,,,,
0.20029831664180694,,,,,0.3301171362400055,4.630337295733382e-06,0.07013738409001777,940,,,,,
0.2103132324738973,,,,,0.3320343494415283,4.586786113400315e-06,0.06250562566391965,987,,,,,
0.22032814830598765,,,,,0.3574035167694092,4.54103944435767e-06,0.05493297475449582,1034,,,,,
0.23034306413807798,,,,,0.295700341463089,4.493145418216454e-06,0.0531315397708974,1081,,,,,
0.24035797997016833,,,,,0.29785364866256714,4.443154423800505e-06,0.0481374517400214,1128,,,,,
0.2501598124866823,0.03978494927287102,31.1268,160.633,2.538,,,,1174,,,,,
0.2503728958022587,,,,,0.20204564929008484,4.391119056132926e-06,0.04362664831445572,1175,,,,,
0.26038781163434904,,,,,0.21392658352851868,4.337094061101378e-06,0.04201039101215119,1222,,,,,
0.2704027274664394,,,,,0.22747154533863068,4.281136277860491e-06,0.03897846759633815,1269,,,,,
0.28041764329852975,,,,,0.20554588735103607,4.223304579031956e-06,0.03815290522068105,1316,,,,,
0.29043255913062005,,,,,0.3102586269378662,4.163659808765229e-06,0.032822479592992906,1363,,,,,
0.3004474749627104,,,,,0.23430323600769043,4.102264718724018e-06,0.03334512862753361,1410,,,,,
0.31046239079480076,,,,,0.2369237095117569,4.039183902065885e-06,0.03356307110887893,1457,,,,,
0.3204773066268911,,,,,0.17304058372974396,3.974483725484431e-06,0.031794550571035834,1504,,,,,
0.33049222245898147,,,,,0.3191356360912323,3.908232259385569e-06,0.030265146113456563,1551,,,,,
0.3405071382910718,,,,,0.19942720234394073,3.840499206271332e-06,0.028045527478481862,1598,,,,,
0.3505220541231622,,,,,0.16019651293754578,3.7713558274065686e-06,0.02814444328876252,1645,,,,,
0.36053696995525253,,,,,0.18082395195960999,3.7008748678456845e-06,0.028959018118838047,1692,,,,,
0.3705518857873428,,,,,0.18032869696617126,3.629130479898303e-06,0.029373912101096297,1739,,,,,
0.3805668016194332,,,,,0.22856812179088593,3.556198145114358e-06,0.026989893710359612,1786,,,,,
0.39058171745152354,,,,,0.1981457769870758,3.482154594870722e-06,0.02611365724117198,1833,,,,,
0.4005966332836139,,,,,0.2778033912181854,3.4070777296428903e-06,0.026718991868039395,1880,,,,,
